,Region,Suburb,Housing_Type,Median Price - Last Quarter,Forecasted Price,Difference,Percentage Difference
1529,Bendigo,North Bendigo,All properties,390.0,385.65,-4.350000000000023,-1.12
1530,Other Regional Centres,Bairnsdale,All properties,380.0,372.4,-7.600000000000023,-2.0
1531,Other Regional Centres,Benalla,All properties,380.0,364.8,-15.199999999999989,-4.0
1532,Other Regional Centres,Castlemaine,All properties,400.0,395.5,-4.5,-1.12
1533,Other Regional Centres,Echuca,All properties,390.0,385.13,-4.8700000000000045,-1.25
1534,Other Regional Centres,Hamilton,All properties,320.0,315.2,-4.800000000000011,-1.5
1535,Other Regional Centres,Horsham,All properties,340.0,336.05,-3.9499999999999886,-1.16
1536,Other Regional Centres,Mildura,All properties,350.0,345.9,-4.100000000000023,-1.17
1537,Other Regional Centres,Moe,All properties,300.0,298.2,-1.8000000000000114,-0.6
1538,Other Regional Centres,Newborough,All properties,300.0,298.2,-1.8000000000000114,-0.6
1539,Other Regional Centres,Morwell,All properties,300.0,294.2,-5.800000000000011,-1.93
1540,Other Regional Centres,Ocean Grove,All properties,550.0,532.7,-17.299999999999955,-3.15
1541,Other Regional Centres,Barwon Heads,All properties,550.0,532.7,-17.299999999999955,-3.15
1542,Other Regional Centres,Portland,All properties,360.0,356.3,-3.6999999999999886,-1.03
1543,Other Regional Centres,Sale,All properties,390.0,383.2,-6.800000000000011,-1.74
1544,Other Regional Centres,Maffra,All properties,390.0,383.2,-6.800000000000011,-1.74
1545,Other Regional Centres,Seymour,All properties,355.0,315.85,-39.14999999999998,-11.03
1546,Other Regional Centres,Shepparton,All properties,350.0,347.1,-2.8999999999999773,-0.83
1547,Other Regional Centres,Swan Hill,All properties,310.0,301.9,-8.100000000000023,-2.61
1548,Other Regional Centres,Torquay,All properties,600.0,558.1,-41.89999999999998,-6.98
1549,Other Regional Centres,Traralgon,All properties,380.0,374.9,-5.100000000000023,-1.34
1550,Other Regional Centres,Wangaratta,All properties,380.0,377.78,-2.2200000000000277,-0.58
1551,Other Regional Centres,Warragul,All properties,420.0,399.8,-20.19999999999999,-4.81
1552,Other Regional Centres,Warrnambool,All properties,420.0,412.1,-7.899999999999977,-1.88
1553,Other Regional Centres,Wodonga,All properties,400.0,392.8,-7.199999999999989,-1.8
